"rank_id","hit_id","assignment_id","worker_id","time","rank0","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","trial","gen"
30,"3UYRNV2KISYXQK0HQU37W2OUNCS8NM","30LSNF239UUXDOLU3ZMF6NAURLFI2M","A2SEL33SEOGT20","2017-12-06 20:35:26+00",109,104,103,87,85,108,84,88,9999,92,1,0
31,"3NZ1E5QA6Y0C2TSIP6RVTNE94XDB5Y","358UUM7WRZ2HSOLJZYXJG6STPXKR7F","AEWP2YJBBFIOR","2017-12-06 20:38:29+00",111,110,76,97,90,106,79,77,9999,-9999,2,0
32,"3UYRNV2KISYXQK0HQU37W2OUNCS8NM","3BWI6RSP7G8SJKGEDSDJHZTAA8VE7Q","A33VGSEJ44ORMF","2017-12-06 20:38:38+00",85,103,87,104,112,109,108,92,88,84,1,0
33,"3NZ1E5QA6Y0C2TSIP6RVTNE94XDB5Y","3WJEQKOXA81BILK087UOK6C6M7X1AL","A2LZ0TBYJ91GYQ","2017-12-06 20:38:43+00",111,79,90,76,110,9999,77,106,97,-9999,2,0
34,"3IHWR4LC7CC5CJPQTEQFRUSD1DY8I6","3TYCR1GOTCIP90WCD9S6LECTTY8ZLP","A2LZ0TBYJ91GYQ","2017-12-06 20:40:49+00",93,105,101,107,86,89,9999,100,98,83,0,0
35,"3UYRNV2KISYXQK0HQU37W2OUNCS8NM","3IX2EGZR7BIACJML07MGJWX2GSLRJN","A2LZ0TBYJ91GYQ","2017-12-06 20:43:26+00",112,108,104,84,109,85,9999,92,88,87,1,0
36,"3NZ1E5QA6Y0C2TSIP6RVTNE94XDB5Y","3R2PKQ87NW7NKSPNDH5ZLWOSXQYMIJ","A2Q3W2ZT4H63LY","2017-12-06 20:51:50+00",111,110,77,97,79,90,9999,106,76,-9999,2,0
37,"3IHWR4LC7CC5CJPQTEQFRUSD1DY8I6","3U5NZHP4LR1T90BGZFF62OH82IUHPH","A2Q3W2ZT4H63LY","2017-12-06 20:52:54+00",105,107,83,100,101,98,93,89,86,9999,0,0
38,"3UYRNV2KISYXQK0HQU37W2OUNCS8NM","3W2LOLRXLBE5N3S3ISMSKBXFVHMKRG","A2Q3W2ZT4H63LY","2017-12-06 20:59:35+00",85,103,109,112,104,84,108,88,9999,87,1,0
39,"3UYRNV2KISYXQK0HQU37W2OUNCS8NM","3TMFV4NEP8DQ0Y7O8XZVH5W5SW8W8D","ACEIKSF2EISXF","2017-12-06 21:11:16+00",109,103,85,104,112,87,84,88,9999,108,1,0
40,"3NZ1E5QA6Y0C2TSIP6RVTNE94XDB5Y","3L6L49WXW0WV4E520TM9AT3N6DB541","A2RB3JN67W24LU","2017-12-06 21:30:07+00",111,90,110,79,97,76,77,9999,106,-9999,2,0
41,"3NZ1E5QA6Y0C2TSIP6RVTNE94XDB5Y","3SLE99ER0NCDWRA0MW3C7BGOH41BZL","A1601UNFFAAQOI","2017-12-06 21:42:04+00",111,79,110,90,97,77,76,9999,106,-9999,2,0
42,"3UYRNV2KISYXQK0HQU37W2OUNCS8NM","3YT88D1N08XD417172LW2DUZP3BK3H","A1601UNFFAAQOI","2017-12-06 21:43:02+00",112,108,104,103,109,87,85,84,88,9999,1,0
43,"3IHWR4LC7CC5CJPQTEQFRUSD1DY8I6","34J10VATJFXE57NF5ACG258X7R0IQ7","ANS6V7SI17YPG","2017-12-06 21:50:37+00",101,105,100,83,98,107,93,89,86,9999,0,0
44,"3NZ1E5QA6Y0C2TSIP6RVTNE94XDB5Y","3X4MXAO0BGNWI3MK765V8MRAIO0RWO","A277UPR6JWGMWY","2017-12-06 21:55:46+00",111,110,106,97,90,79,77,76,9999,-9999,2,0
