"find_id","hit_id","assignment_id","worker_id","original","updated","time","pitch","heading","trial","gen","zoom","find_time","invalid_count","valid_count"
103,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","3HPZF4IVNMSW16S14AXO4OD4TVLCYQ","A3K42GIC4D4AWU","Find the trash can right next to a tree.","Black trash can at the end of the right closest driveway on the sidewalk adjacent to parked silver truck.","2017-12-06 19:29:25+00",-12.217998787437878,226.62363955105516,1,0,1.0000000000000002,12.951,0,0
104,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","39LOEL67OS4T9050YDOTC8L8U35385","AFSZT3BXPRR9N","Find the trash can right next to a tree.","The trash can is at the edge of a driveway on the left. It is black and small.","2017-12-06 19:29:43+00",-14.80250469325442,224.79075928438363,1,0,0.9999999999999997,22.732,0,0
106,"3SR6AEG6W4SKVU5O006OQVF0UFKHYY","3R8YZBNQ9HHHGN6JMJ8JBGIOTBCQ77","A09265903LS1OKAES4KAC","Find the yellow sign.","on the right side of the road","2017-12-06 19:32:08+00",-1.2697987578516745,63.34708658938531,2,0,1,15.531,0,0
78,"3IZVJEBJ69J43VVC03H37BZCRV6Z64","3MMN5BL1WZ38UP74SEYCHQM3E7P3MM","A4J4GGMKJ68L0","Find the trash can right next to a tree.","The trash can is on the sidewalk next to a tree.","2017-12-06 18:48:23+00",-12.388429411316167,223.03900783899508,1,0,0.9999999999999997,18.112,0,7
86,"33CLA8O0MHARKX2WRFQUFEAQBDQRF6","3HPZF4IVNMSW16S14AXO4OD4TUFYC4","A4J4GGMKJ68L0","Find a brown tarp.","The brown tarp is to the right underneath the blue m and m billboard. ","2017-12-06 18:50:22+00",-13.549389209354885,77.59040354520862,0,0,0.9999999999999997,18.28,0,7
80,"3IZVJEBJ69J43VVC03H37BZCRV6Z64","3D3VGR7TA0EZR5KWXMUT3PGDKUO3RA","A2RH1DE5ND8CEG","Find the trash can right next to a tree.","Trash can next to the tree by the curb","2017-12-06 18:48:38+00",-2.7329348723906577,15.778413291510008,1,0,2.6925324469996963,26.189,1,6
82,"3MQKOF1EE1NZU95MZ35AEDFMRFPWD3","35USIKEBNRFD9QFMNHBA18NNTO16NV","A2VBSFSJXLZZ7A","Find the yellow sign.","Find the yellow diamond shaped sign on the right side of the road.","2017-12-06 18:49:06+00",-0.5958399217290662,63.12680773103705,2,0,1.0004686448957323,11.988,4,5
90,"3MQKOF1EE1NZU95MZ35AEDFMRFPWD3","3DZQRBDBSLEBSKK9CBUYTZL96W73SY","A1SVCWSPL677Q4","Find the yellow sign.","Please find the Yellow Rhombus shaped street sign","2017-12-06 19:01:26+00",-1.0315254711404407,63.79830959967696,2,0,2.2472189758592394,96.881,0,9
96,"3SR6AEG6W4SKVU5O006OQVF0UFKHYY","30H4UDGLT2HF1ECRQCVJUTP4J4LPMQ","AFSZT3BXPRR9N","Find the yellow sign.","The yellow sign is dimond shaped on the right side of the road of a prarie.","2017-12-06 19:25:31+00",10.96110462975654,53.69109443289873,2,0,0.9999999999999997,31.921,3,6
97,"3SR6AEG6W4SKVU5O006OQVF0UFKHYY","354P56DE9K2TT3LWENXO6GXPBZXS7Y","A3K42GIC4D4AWU","Find the yellow sign.","Yellow Animal Crossing Sign","2017-12-06 19:26:36+00",-1.174182799732293,63.26863619526249,2,0,1.6119044099128637,20.79,0,9
99,"3SR6AEG6W4SKVU5O006OQVF0UFKHYY","3DQQ64TANGKB6Q65UE163RRVH6ZWPO","A1ZW5J4OR86543","Find the yellow sign.","Diamond-shaped sign that warns of animals along/crossing road.","2017-12-06 19:27:36+00",-1.108471983377072,62.77459158252593,2,0,1.2411736709161998,17.672,2,7
89,"33CLA8O0MHARKX2WRFQUFEAQBDQRF6","3YGXWBAF70GG3ZEHF39HOZ9XYTHC4Y","A1AILND65FJMLX","Find a brown tarp.","Find a brown tarp on the sidewalk.","2017-12-06 18:52:07+00",-9.852959712637556,80.0914117495512,0,0,1,137.993,0,7
77,"3MQKOF1EE1NZU95MZ35AEDFMRFPWD3","3W8CV64QJ2Y8HDV9IQJ9GYHTXD09H0","A320QA9HJFUOZO","Find the yellow sign.","Diamond shaped yellow road sign","2017-12-06 18:48:23+00",-1.1210174200610936,64.12918703728249,2,0,2.375934764750494,24.988,0,9
79,"3MQKOF1EE1NZU95MZ35AEDFMRFPWD3","3IOEN3P9S7IAVJ8XIUDC41AKQNW16I","A2XVL0RNQMWI17","Find the yellow sign.","The yellow sign is on the right side of the road.","2017-12-06 18:48:33+00",-1.338200542099429,62.688923120372436,2,0,1,29.702,1,8
84,"3IZVJEBJ69J43VVC03H37BZCRV6Z64","3VP0C6EFSGV7R8UMBGWAOTYNOYR6MV","A1AILND65FJMLX","Find the trash can right next to a tree.","Find the trash can right next to a tree; with cars on the background.","2017-12-06 18:49:30+00",-3.746848255790894,15.304947041659906,1,0,2.612915278936328,45.181,1,6
98,"33P2GD6NRMRPBPG7WL5XHN0PW0BKH6","3HVVDCPGTERDNNUCQWSETYD8HHKTYP","A09265903LS1OKAES4KAC","Find a brown tarp.","brown tarp in front of M&Ms store","2017-12-06 19:26:41+00",-11.62871520107484,80.8429406842535,0,0,1,18.428,0,7
87,"3IZVJEBJ69J43VVC03H37BZCRV6Z64","33L7PJKHCGXY8H3UDSUKULP6O1DT85","A2KPSDEGQN6ENM","Find the trash can right next to a tree.","Find the trash can on the left side of a tree on the side of the street.","2017-12-06 18:50:23+00",-3.3387901403227715,15.033837253573745,1,0,2.0533429934950425,28.012,1,6
88,"3IZVJEBJ69J43VVC03H37BZCRV6Z64","374TNBHA8BU0V72K9SYJOT2LX9HYQA","A35NVKW9R833VF","Find the trash can right next to a tree.","Find the black trash can next to a tree.","2017-12-06 18:50:45+00",-12.641461583840396,226.5947023597044,1,0,1,17.348,0,7
91,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","3A4TN5196KHAFB2CUAT0IOI13Z7CHQ","A1JMJCVG86Y5RT","Find the trash can right next to a tree.","Trashcan on the sidewalk behind the white car","2017-12-06 19:22:16+00",-10.193234452097329,343.9422571375514,1,0,0.9991974436277853,32.753,7,0
92,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","3LEIZ60CDJYU8YV3OCPGG5LYT4LZ9M","A2089GGBHBLVSQ","Find the trash can right next to a tree.","It is at the end of the stret","2017-12-06 19:23:14+00",-3.6145702527850005,15.481188828737503,1,0,2.3693770487283317,14.304,1,6
95,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","3Z3ZLGNNSITZF45WK75TYZ68O9QQ32","A04105201BXJMN0FM5L6U","Find the trash can right next to a tree.","Trash Can near Tree on the house with the Silver Car in Driveway","2017-12-06 19:25:05+00",-3.7349939549008297,14.080892035584496,1,0,1,24.242,5,2
102,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","3Q5ZZ9ZEVOEWNFS4CWCMR5JS8ZW850","AT6LDQNLKTUSE","Find the trash can right next to a tree.","Find the trash can that is next to the tree and the silver truck.","2017-12-06 19:28:30+00",-5.629624581828352,227.45652888470192,1,0,0,65.424,3,4
76,"3MQKOF1EE1NZU95MZ35AEDFMRFPWD3","3A4TN5196KHAFB2CUAT0IOI13Y3HCP","A2RH1DE5ND8CEG","Find the yellow sign.","The yellow sign with an animal on it","2017-12-06 18:47:54+00",-0.907683233261892,64.28712381697453,2,0,2.6925324469996963,16.301,0,9
81,"3MQKOF1EE1NZU95MZ35AEDFMRFPWD3","3M81GAB8A0I4IZ99Z0KZGI4KC0ZBQ8","A4J4GGMKJ68L0","Find the yellow sign.","There are no houses next to the sign, and the sign is pretty far away. ","2017-12-06 18:49:00+00",-1.7359683419656733,61.27139084430557,2,0,0.9999999999999997,11.137,5,4
93,"33P2GD6NRMRPBPG7WL5XHN0PW0BKH6","3H7XDTSHKCQ5TDD6RVBJ9ID3GFCWGK","A04105201BXJMN0FM5L6U","Find a brown tarp.","Brown Tarp on street near Yellow M&M ","2017-12-06 19:23:47+00",-10.500052972280244,78.72351327776784,0,0,1,72.769,0,7
100,"33P2GD6NRMRPBPG7WL5XHN0PW0BKH6","3I2PTA7R3TT5B2D35DXSFLNAZVCQKD","A3K42GIC4D4AWU","Find a brown tarp.","Brown tarp covering large object behind sitting man on left sidewalk","2017-12-06 19:27:36+00",-11.522435238053518,79.8538729213192,0,0,1.0000000000000002,15.465,0,7
85,"3IZVJEBJ69J43VVC03H37BZCRV6Z64","3X31TUMD7XLSE4B45YJETKSHGILL1A","A2XVL0RNQMWI17","Find the trash can right next to a tree.","The trash can is in front of the house with a basketball hoop in it's driveway.","2017-12-06 18:50:01+00",-12.066323284547266,226.3483416315002,1,0,1,22.491,0,7
94,"3SR6AEG6W4SKVU5O006OQVF0UFKHYY","3QILPRALQ5U0D4YAGW88LMJEZKVN84","A04105201BXJMN0FM5L6U","Find the yellow sign.","Yellow Sign on the road ","2017-12-06 19:24:23+00",-1.2900764901208817,62.60428904130157,2,0,1,13.685,3,6
105,"33P2GD6NRMRPBPG7WL5XHN0PW0BKH6","3MX2NQ3YC9TM2GTCK4OE740LZ855X5","A1ZW5J4OR86543","Find a brown tarp.","Brown tarp wrapped on object near yellow and red umbrella, left on side of street when facing Monster billboard.","2017-12-06 19:30:27+00",-10.09580896646898,81.01692826468117,0,0,0,99.07,0,7
108,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","3P529IW9KYKJ4J5CCXYZIMWBHT9LFI","A1ZW5J4OR86543","Find the trash can right next to a tree.","At the end of an empty driveway, next driveway past the trash can has at least three vehicles in it.","2017-12-06 19:32:43+00",-3.3437019635086216,15.532122009889509,1,0,2.863071491882174,35.433,0,0
109,"3TRB893CSI9NGEECTLY6SIJ2BGY7GO","36DSNE9QZ5X7F6U58F5CP1SX55VJO0","A10N5VZVQPBY77","Find the trash can right next to a tree.","trash can by a tree in front of the white house with the truck parked in front.","2017-12-06 19:33:45+00",-9.055350690075741,164.5163245663731,1,0,2.446652762204969,36.952,0,0
110,"3SR6AEG6W4SKVU5O006OQVF0UFKHYY","3LJ7UR74RHCZU3B84TIV4A39XY14NG","A31STOC63OK6ZQ","Find the yellow sign.","There is a yellow traffic sign on the right side of the road","2017-12-06 19:43:04+00",-1.3900061393226082,64.28839483221509,2,0,2.75455593620587,33.725,0,0
111,"3SR6AEG6W4SKVU5O006OQVF0UFKHYY","31Z0PCVWUKEU83YB3N2EGLTBDIE7T5","A3I0M3IPT9Z62V","Find the yellow sign.","Please turn the street view to the left. You will see the yellow sign right away. ","2017-12-06 19:47:08+00",-10.239161908089073,102.73699569220122,2,0,1,34.616,0,0
